No,표준ID,ARS-ID,정류장명,X좌표,Y좌표,비고,지번주소,도로명주소
7717,117000914,18810,마이크로오피스사거리앞,126.8826578779,37.4721139214,,서울특별시 금천구 가산동 327-4,서울특별시 금천구 가산디지털2로 40
7718,117900014,18812,성지아트빌,126.8888322299,37.4735217241,,서울특별시 금천구 가산동 219-6,서울특별시 금천구 가산로7길 87
7719,117900152,18814,시흥모터스,126.8885881948,37.4703534925,,서울특별시 금천구 독산동 998-4,서울특별시 금천구 두산로 6
7720,117900013,18815,홈플러스.문일중고입구,126.8996929387,37.4509297326,,서울특별시 금천구 시흥동 1000-111,서울특별시 금천구 시흥대로51길 35
7721,117900012,18816,진도3차아파트,126.8937008503,37.4685947359,,서울특별시 금천구 독산동 1136,서울특별시 금천구 시흥대로115길 48
7722,117900011,18817,대륭테크노타운,126.8832546076,37.4700771104,,서울특별시 금천구 가산동 343-2,서울특별시 금천구 가산디지털2로 17
7723,117900010,18818,온누리아파트,126.887082818,37.4737528394,,서울특별시 금천구 가산동 239-18,서울특별시 금천구 벚꽃로24길 14
7724,117900008,18820,성지아파트,126.8987381748,37.4512627351,,서울특별시 금천구 시흥동 996-6,서울특별시 금천구 시흥대로51길 55
7725,117900007,18821,독산현대아파트.금천50플러스센터,126.8943779746,37.4670373288,,서울특별시 금천구 독산동 1142,서울특별시 금천구 범안로17길 15
7726,117900145,18822,대륭테크노2차.12차,126.8847974797,37.4688296905,,서울특별시 금천구 가산동 569-21,서울특별시 금천구 가산디지털1로 33-23
7727,117900006,18824,시흥1동공영주차장.금천노인종합복지관,126.8968278304,37.4513872383,,서울특별시 금천구 시흥동 996-5,서울특별시 금천구 시흥대로51길 87
7728,117900153,18825,두산초등학교,126.8916076535,37.4666374319,,서울특별시 금천구 독산동 1081-9,서울특별시 금천구 범안로11길 3
7729,117900005,18826,교학사,126.8862111673,37.4692410639,,서울특별시 금천구 가산동 327-18,서울특별시 금천구 가산디지털1로 33
7730,117900003,18828,홈플러스금천점,126.8975479886,37.4694911309,,서울특별시 금천구 독산동 291-5,서울특별시 금천구 시흥대로 403
7731,117900002,18829,독산역,126.8896697625,37.4660003578,,서울특별시 금천구 독산동 1081-5,서울특별시 금천구 벚꽃로 115
7732,117900045,18833,서울디자인직업전문학교,126.8955994178,37.4723792747,,서울특별시 금천구 독산동 296-3,서울특별시 금천구 가산로 67
7733,117900044,18834,가산디지털단지역,126.8831127854,37.4812885297,,서울특별시 금천구 가산동 50-6,서울특별시 금천구 벚꽃로 309
7734,117900043,18836,새마을금고,126.9105225388,37.4512100674,,서울특별시 금천구 시흥동 249-8,서울특별시 금천구 탑골로 10
7735,117900042,18838,금천구종합청사.금천구청역,126.8945087092,37.4560610474,,서울특별시 금천구 시흥동 113-192,서울특별시 금천구 시흥대로63길 91
