No,개방서비스명,소재지전체주소,도로명전체주소,사업장명,좌표정보(X),좌표정보(Y),지번주소,도로명주소
231,단란주점영업,서울특별시 동작구 흑석동 101-4번지 ,서울특별시 동작구 서달로15길 17 (흑석동),엠(M),37.50847687,126.962159,서울특별시 동작구 흑석동 101-4,서울특별시 동작구 서달로15길 17
232,단란주점영업,서울특별시 동작구 사당동 321-8번지 ,서울특별시 동작구 사당로 256 (사당동),필단란주점,37.48320945,126.9761679,서울특별시 동작구 사당동 321-8,서울특별시 동작구 사당로 256
233,단란주점영업,서울특별시 동작구 사당동 1031-24번지 ,서울특별시 동작구 동작대로3길 10 (사당동),해성,37.47846153,126.9808171,서울특별시 동작구 사당동 1031-24,서울특별시 동작구 동작대로3길 10
234,단란주점영업,서울특별시 동작구 신대방동 375-15번지 동일빌딩 ,"서울특별시 동작구 여의대방로22길 4, 동일빌딩 지하1층 (신대방동)",오빠,37.49754878,126.9200894,서울특별시 동작구 신대방동 375-15,서울특별시 동작구 여의대방로22길 4
235,단란주점영업,서울특별시 동작구 사당동 1044-1번지 지하 1층 ,"서울특별시 동작구 남부순환로269길 8 (사당동,지하 1층)",스타킹 라이브주점,37.47713828,126.9785455,서울특별시 동작구 사당동 1044-1,서울특별시 동작구 남부순환로269길 8
236,단란주점영업,서울특별시 동작구 상도동 492-14번지 ,서울특별시 동작구 상도로62길 35 (상도동),퐁퐁,37.49579641,126.9533851,서울특별시 동작구 상도동 492-14,서울특별시 동작구 상도로62길 35
237,단란주점영업,서울특별시 동작구 상도1동 755-0번지 ,서울특별시 동작구 상도로 275 (상도1동),울리불리 7080,37.50295564,126.9482441,서울특별시 동작구 상도1동 755,서울특별시 동작구 상도로 275
238,단란주점영업,서울특별시 동작구 상도동 324-2번지 ,서울특별시 동작구 상도로 88 (상도동),야간열차,37.49957339,126.9305657,서울특별시 동작구 상도동 324-2,서울특별시 동작구 상도로 88
239,단란주점영업,서울특별시 동작구 신대방동 395-67번지 관악타워 지1층136호 ,"서울특별시 동작구 보라매로5길 51 (신대방동,관악타워 지1층136호)",Live 캐슬,37.49078223,126.9232199,서울특별시 동작구 신대방동 395-67,서울특별시 동작구 보라매로5길 51
240,단란주점영업,서울특별시 동작구 노량진동 261-2번지 ,서울특별시 동작구 노량진로8길 26 (노량진동),가원,37.51257105,126.9367208,서울특별시 동작구 노량진동 261-2,서울특별시 동작구 노량진로8길 26
241,단란주점영업,서울특별시 동작구 상도동 467번지 ,서울특별시 동작구 상도로 331 (상도동),금강산,37.49882514,126.9518015,서울특별시 동작구 상도동 467,서울특별시 동작구 상도로 331
242,단란주점영업,서울특별시 동작구 대방동 400-3번지 ,서울특별시 동작구 여의대방로 140 (대방동),별밤노래바,37.49947768,126.9206551,서울특별시 동작구 대방동 400-3,서울특별시 동작구 여의대방로 140
