,일반시설일련번호,기준년도,시설종류,시설명,전체집행연장,전체집행면적,미집행연장,위치정보,좌표정보(X),좌표정보(Y)
117,1236708,2015,고등학교,"영화초,영등포중·고교",0,47390,0,대방동 13-2,37.50823103,126.9336415
118,1236709,2015,고등학교,"서울공업고교,강남중교",0,70000,0,대방동 390-5,37.50137659,126.9226228
119,1236710,2015,고등학교,경문고교,0,35690,0,동작동 산4-2,37.49308079,126.9816294
120,1236711,2015,고등학교,숭의여자고등학교,0,12000,0,대방동 20-114,37.50801462,126.9291701
121,1236712,2015,고등학교,성남고등학교,0,96847,0,대방동 375-1,37.50468911,126.9269649
122,1236713,2015,특수학교,삼성농아원,0,3447,0,상도동 산65-127,37.5000468,126.9417581
123,1236714,2015,대학(교),중앙대학교,0,176369,0,흑석동 221,37.50439667,126.9563901
124,1236715,2015,대학(교),숭실대학교,0,124539,0,상도동 1-1,37.50741924,126.9521405
125,1236716,2015,대학(교),총신대학교,0,42309,0,사당동 200-1,37.48918318,126.9666399
126,1236717,2015,자치단체청사,공공청사,0,8308,0,동작구 노량진동47-2,37.51226793,126.9394288
127,1236718,2015,자치단체청사,공공청사,0,4779,0,동작구 노량진동72-35,37.51299707,126.9427747
128,1236719,2015,자치단체청사,공공청사(사당1동사무소),0,495,0,동작구 사당동1049-11,37.47641296,126.9736339
129,1236720,2015,자치단체청사,공공청사(노량진2동),0,2971,0,노량진동 294-41,37.50874626,126.9364984
130,1236721,2015,자치단체청사,공공청사(노량진1동),0,2027,0,노량진동 225-171일대,37.50938115,126.942941
131,1236722,2015,자치단체청사,공공청사(사당5동),0,578,0,동작구 사당동228-11,37.4856805,126.9669345
132,1236723,2015,자치단체청사,공공청사(상도파출소),0,175,0,동작구 상도1동 706,37.50338293,126.947298
134,1236725,2015,자치단체청사,공공청사,0,3046,0,동작구 상도동176-3외5,37.50442384,126.9411375
135,1236726,2015,자치단체청사,공공청사(상도4동),0,330,0,동작구 상도동198-22외1,37.5000118,126.9378085
136,1236727,2015,자치단체청사,주민센터 흑석7구역,0,729,0,동작구 흑석동 173-186,37.50940251,126.9600774
137,1236728,2015,자치단체청사,공공청사(대방동사무소),0,871,0,동작구 대방동501-2,37.50822712,126.926297
138,1236729,2015,자치단체청사,통합동주민센터 흑석2구역,0,747,0,동작구 흑석동54-152,37.50676294,126.9628812
139,1236730,2015,자치단체청사,공공청사(기상청),0,18185,0,동작구 신대방동460-18,37.49378923,126.9173214
140,1236731,2015,자치단체청사,공공청사(소방서),0,4896,0,동작구 신대방동460-19,37.49472199,126.9176297
141,1236732,2015,자치단체청사,공공청사(남부수도사업소),0,5724,0,동작구 신대방동470-1,37.4943734,126.9133664
142,1236733,2015,자치단체청사,공공청사(치안센터),0,1749,0,동작구 대방동45-4일대,37.51167941,126.9339082
143,1236734,2015,자치단체청사,공공청사(흑석주민센터),0,747,0,흑석동39-2,37.5057248,126.9643247
144,1236735,2015,자치단체청사,공공청사(소방파출소),0,473,0,"상도동324-21, 36",37.49904711,126.9294922
145,1236736,2015,자치단체청사,공공청사,0,700,0,흑석동272-3,37.50542007,126.9701515
146,1236738,2015,자치단체청사,공공청사,0,501,0,흑석동177-32,37.50929604,126.9601493
147,1236739,2015,자치단체청사,공공청사,0,849,0,사당동1004-52,37.48303921,126.9787583
148,1236740,2015,자치단체청사,공공청사,0,861,0,흑석동173-63,37.5097443,126.9594049
149,1236741,2015,문화시설,문화시설,0,750,0,흑석동38-58일대,37.50489391,126.9665594
150,1236742,2015,지자체사회복지시설,사회복지시설(동작종합사회복지관),0,662,0,동작구 대방동68-82일대,37.50622213,126.9328149
151,1236743,2015,지자체사회복지시설,사회복지시설(사당종합사회복지관),0,486,0,동작구 사당동268-22,37.4833786,126.9697739
152,1236744,2015,지자체사회복지시설,사회복지시설(어린이집),0,1462,0,동작구 상도동159-403일대,37.50247388,126.9464419
153,1236745,2015,지자체사회복지시설,사회복지시설(보건소에서 시설변경),0,384,0,동작구 노량진동62-8외1,37.51335456,126.9408779
154,1236746,2015,지자체사회복지시설,사회복지시설(예담어린이집),0,1117,0,동작구 상도1동511,37.50697558,126.9512261
155,1236747,2015,지자체사회복지시설,사회복지시설,0,159,0,동작구 노량진동224-6,37.51040559,126.9446283
156,1236748,2015,지자체사회복지시설,사회복지시설,0,502,0,동작구 흑석동54-235,37.5045456,126.9629216
157,1236749,2015,지자체사회복지시설,사회복지시설,0,1435,0,흑석동 231-8,37.50510662,126.9606425
160,1236752,2015,지자체사회복지시설,사회복지시설,0,1283,0,흑석동 257-10,37.49976547,126.9601523
161,1236753,2015,지자체사회복지시설,사회복지시설,0,726,0,흑석동 173-52,37.50984054,126.9591567
162,1236754,2015,지자체사회복지시설,사회복지시설(구립노인정),0,630,0,상도동122-54,37.4984903,126.9521415
163,1236755,2015,자치단체청소년수련시설,청소년수련시설,0,2892,0,동작구 본동 18-6번지 일대,37.51105786,126.9572956
164,1127023,2015,지방하천,하천,1350,30510,0,상도동 34,37.5056632,126.9445982
165,1127025,2015,유수시설,유수지,115,2602,0,노량진동 13-8,37.51532501,126.942059
166,1127026,2015,유수시설,유수지,114,2595,0,대방동 82-6,37.5142668,126.9275648
