,표준ID,ARS-ID,정류장명,X좌표,Y좌표,비고,지번주소,도로명주소,법정동
206,119900261,20568,동작고교,126.9664294375,37.4818218649,,서울특별시 동작구 사당동 708-745,서울특별시 동작구 솔밭로 59,사당동
207,119900030,20569,대림아파트후문.성남중.고교,126.92481462719999,37.505674745,,서울특별시 동작구 대방동 375-39,서울특별시 동작구 여의대방로36길 32,대방동
208,119900029,20570,구동사무소,126.9324298965,37.4961096391,,서울특별시 동작구 상도동 292-60,서울특별시 동작구 국사봉1길 125,상도동
209,119900028,20571,중대부속초등학교,126.9610502124,37.5053724551,,서울특별시 동작구 흑석동 228-2,서울특별시 동작구 서달로 134,흑석동
210,119900322,20572,흑석동주민센터,126.9661960945,37.5059319839,,서울특별시 동작구 흑석동 335,서울특별시 동작구 흑석한강로 12,흑석동
211,119900027,20573,국사봉중학교,126.9437280828,37.4931806671,,서울특별시 동작구 상도동 214-437,서울특별시 동작구 양녕로20길 20,상도동
212,119900026,20574,국민은행4번출구,126.9377214725,37.504481085900004,,서울특별시 동작구 상도동 365-19,서울특별시 동작구 상도로15길 126,상도동
213,119900025,20575,빙수골공영주차장,126.932158087,37.4952795673,,서울특별시 동작구 상도동 294-4,서울특별시 동작구 국사봉길 111,상도동
214,119900023,20577,상도역7호선,126.94721021149999,37.5027474813,,서울특별시 동작구 상도1동 736-2,서울특별시 동작구 양녕로 252,상도1동
215,119900022,20578,이수역,126.98046005350001,37.4846860272,,서울특별시 동작구 사당동 147-139,서울특별시 동작구 사당로 300,사당동
216,119900021,20579,성원샹떼빌앞,126.9080420892,37.4877057013,,서울특별시 동작구 신대방동 719,서울특별시 동작구 대림로 43,신대방동
217,119900020,20580,대방동주민센터,126.9262406506,37.5082726182,,서울특별시 동작구 대방동 501-2,서울특별시 동작구 여의대방로44길 20,대방동
218,119900019,20581,빙수골마을공원,126.9321116975,37.4965518983,,서울특별시 동작구 상도동 296-6,서울특별시 동작구 국사봉1길 117,상도동
219,119900018,20582,중앙대병원후문.흑석시장,126.96173876450001,37.5069134676,,서울특별시 동작구 흑석동 332-1,서울특별시 동작구 서달로 151,흑석동
220,119900323,20583,흑석한강푸르지오,126.9656542882,37.5052085384,,서울특별시 동작구 흑석동 335,서울특별시 동작구 흑석한강로 12,흑석동
221,119900017,20584,방범초소,126.94374204379999,37.494168283200004,,서울특별시 동작구 상도동 214-437,서울특별시 동작구 양녕로20길 43,상도동
222,119900016,20585,주택가,126.9368294391,37.5053600875,,서울특별시 동작구 상도동 363-279,서울특별시 동작구 등용로2길 2,상도동
223,119900015,20586,백경세탁소,126.930834755,37.4966448723,,서울특별시 동작구 상도동 298-13,서울특별시 동작구 국사봉길 71,상도동
224,119900014,20587,중앙대중문,126.95728804,37.5067385205,,서울특별시 동작구 흑석동 205-17,서울특별시 동작구 흑석로 84,흑석동
225,119900013,20588,중대후문입구,126.9501363221,37.504345505500005,,서울특별시 동작구 상도1동 637,서울특별시 동작구 양녕로 282,상도1동
226,119900012,20589,신대방1동주민센터,126.90957855639999,37.487040971,,서울특별시 동작구 신대방동 694-13,서울특별시 동작구 대림로 31,신대방동
