tier,summonerId,summonerName,leaguePoints,wins,losses,veteran,inactive,freshBlood,hotStreak
GRANDMASTER,C5ynjlRGZW21Jc1xAKyr5mbCkzTvACGmNbWMzbFhuMHrKw,챌까지미드마오함,441,181,127,False,False,False,True
GRANDMASTER,XFa66i5TcFLsGu8_BdiDOXCeaqgHjK7oTd2DGg4J-2HTa-Q,돼지 같은 팀원,258,345,332,True,False,False,False
GRANDMASTER,4nfdFOJzXDkM-QOYgobwIQ9TzxZVxG7-kAW65axLlAcA6Ec,whyb babo,452,270,243,True,False,False,False
GRANDMASTER,3UTVdVaU_IbgEwf1pyqW6EQhJiQcx6tzND3PUbAxLcavmGg,하 멘탈이 터진다,419,282,259,True,False,False,False
GRANDMASTER,OPlp_tnPnQhuqKyKskGTWO_Yh8C1o-dRqH8M3Ak2CGUShA,미야아웅,491,216,207,False,False,False,False
GRANDMASTER,iWRnlnJRSKC8J0BiOcFJJQ0NE9Beq-NZIzpwvWW0rmwdU5I,구인수 케일,412,113,102,False,False,False,False
GRANDMASTER,mG1bSPe1APaeci7Gmtc8kFVuR-pJpxkLm2-6gdcqoCQAU78,XXXTENATCION,203,288,283,False,False,True,False
GRANDMASTER,cOVcsPkpkSUpx6iCUNZ2Q_jHI5XLTWrTdaXcB5SJYPIEI38,복수의 나선,490,104,76,False,False,True,True
GRANDMASTER,p8ZXhAvPlgRc52N0d91_5hyQOnJGl98wYAv2f7BUvLUnuoQ,ffffaaaatttteee,379,85,64,False,False,True,False
GRANDMASTER,d4miuEIt-N95mBbT8_JVu_Siz0r8X7hQJZDX-GQaGMroGkE,Tlcc SnakeGirl,232,240,195,False,False,True,False
GRANDMASTER,SXj1xdSgyfZMGKGsFx5GRXGkXb3b7KIffGfqHcB9S0nklw,D1 이현,320,266,285,False,False,True,False
GRANDMASTER,j9C_EHKsvrXfsb6oPw6v8-5Z3DBSnJlLNZ615iy5DDj4BMU,SANDBOX FATE,331,95,80,False,False,False,False
GRANDMASTER,BvXlcEckgxi2JG66yeYwdavAmAkfDaCNIoyFatsUaRVYcA,지헌7,203,132,112,False,False,False,False
GRANDMASTER,ZEiHtCcDj_-DSIsg6f6vupaGmXp1eTJTyHHVt0eTP81x5sQ,XinMo2,313,190,157,False,False,False,False
GRANDMASTER,HEzrOH_JdnX-DkqMjT6t8sjTVw0sBE-aZ0zVj8fvTmS6qsE,재능충의 표본,418,187,95,True,False,False,True
GRANDMASTER,EPKDLPr0fW5dJyHq8ec-wtSlcx0ByeQlO8ufNi-_IsTU5PM,화내 지 마1,472,279,246,False,False,False,False
GRANDMASTER,T722xLIRVukU68ka-furDoIJHgX3SOxd4-dXPh6RCfNJGXc,Gen G BBakPyo,411,278,264,True,False,False,False
