시도,시군구,행정동,latitude,longitude,sort,value
서울특별시,동작구,상도3동,37.49920407,126.93134180000001,p.75~79세,913
서울특별시,동작구,상도4동,37.50055916,126.9378048,p.75~79세,940
서울특별시,동작구,흑석동,37.50577502,126.9665908,p.75~79세,"1,137"
서울특별시,동작구,사당1동,37.48315533,126.9786716,p.75~79세,689
서울특별시,동작구,사당2동,37.488752500000004,126.9792534,p.75~79세,"1,017"
서울특별시,동작구,사당3동,37.48662464,126.97208540000001,p.75~79세,831
서울특별시,동작구,사당4동,37.48095899,126.9716308,p.75~79세,495
서울특별시,동작구,사당5동,37.48562502,126.9670158,p.75~79세,392
서울특별시,동작구,대방동,37.50816426,126.9263435,p.75~79세,"1,076"
서울특별시,동작구,신대방제1동,37.48894713,126.9100482,p.75~79세,711
서울특별시,동작구,신대방제2동,37.49840342,126.92452560000001,p.75~79세,657
서울특별시,동작구,노량진1동,37.5123068,126.9420162,q.80~84세,760
서울특별시,동작구,노량진2동,37.50850579,126.93735929999998,q.80~84세,344
서울특별시,동작구,상도1동,37.50324263,126.94974979999999,q.80~84세,872
서울특별시,동작구,상도2동,37.50546652,126.942311,q.80~84세,562
서울특별시,동작구,상도3동,37.49920407,126.93134180000001,q.80~84세,533
서울특별시,동작구,상도4동,37.50055916,126.9378048,q.80~84세,633
서울특별시,동작구,흑석동,37.50577502,126.9665908,q.80~84세,761
서울특별시,동작구,사당1동,37.48315533,126.9786716,q.80~84세,348
서울특별시,동작구,사당2동,37.488752500000004,126.9792534,q.80~84세,547
서울특별시,동작구,사당3동,37.48662464,126.97208540000001,q.80~84세,438
서울특별시,동작구,사당4동,37.48095899,126.9716308,q.80~84세,289
서울특별시,동작구,사당5동,37.48562502,126.9670158,q.80~84세,242
서울특별시,동작구,대방동,37.50816426,126.9263435,q.80~84세,711
서울특별시,동작구,신대방제1동,37.48894713,126.9100482,q.80~84세,440
서울특별시,동작구,신대방제2동,37.49840342,126.92452560000001,q.80~84세,364
서울특별시,동작구,노량진1동,37.5123068,126.9420162,r.85~89세,331
서울특별시,동작구,노량진2동,37.50850579,126.93735929999998,r.85~89세,142
서울특별시,동작구,상도1동,37.50324263,126.94974979999999,r.85~89세,409
서울특별시,동작구,상도2동,37.50546652,126.942311,r.85~89세,274
서울특별시,동작구,상도3동,37.49920407,126.93134180000001,r.85~89세,204
서울특별시,동작구,상도4동,37.50055916,126.9378048,r.85~89세,260
서울특별시,동작구,흑석동,37.50577502,126.9665908,r.85~89세,371
서울특별시,동작구,사당1동,37.48315533,126.9786716,r.85~89세,134
서울특별시,동작구,사당2동,37.488752500000004,126.9792534,r.85~89세,296
서울특별시,동작구,사당3동,37.48662464,126.97208540000001,r.85~89세,204
서울특별시,동작구,사당4동,37.48095899,126.9716308,r.85~89세,114
서울특별시,동작구,사당5동,37.48562502,126.9670158,r.85~89세,102
서울특별시,동작구,대방동,37.50816426,126.9263435,r.85~89세,342
서울특별시,동작구,신대방제1동,37.48894713,126.9100482,r.85~89세,203
서울특별시,동작구,신대방제2동,37.49840342,126.92452560000001,r.85~89세,142
서울특별시,동작구,노량진1동,37.5123068,126.9420162,s.90~94세,137
서울특별시,동작구,노량진2동,37.50850579,126.93735929999998,s.90~94세,66
서울특별시,동작구,상도1동,37.50324263,126.94974979999999,s.90~94세,160
서울특별시,동작구,상도2동,37.50546652,126.942311,s.90~94세,91
서울특별시,동작구,상도3동,37.49920407,126.93134180000001,s.90~94세,84
서울특별시,동작구,상도4동,37.50055916,126.9378048,s.90~94세,93
서울특별시,동작구,흑석동,37.50577502,126.9665908,s.90~94세,147
서울특별시,동작구,사당1동,37.48315533,126.9786716,s.90~94세,49
서울특별시,동작구,사당2동,37.488752500000004,126.9792534,s.90~94세,89
서울특별시,동작구,사당3동,37.48662464,126.97208540000001,s.90~94세,69
서울특별시,동작구,사당4동,37.48095899,126.9716308,s.90~94세,53
서울특별시,동작구,사당5동,37.48562502,126.9670158,s.90~94세,39
서울특별시,동작구,대방동,37.50816426,126.9263435,s.90~94세,134
서울특별시,동작구,신대방제1동,37.48894713,126.9100482,s.90~94세,81
서울특별시,동작구,신대방제2동,37.49840342,126.92452560000001,s.90~94세,57
