,개방서비스명,소재지전체주소,도로명전체주소,사업장명,업태구분명,좌표정보(X),좌표정보(Y)
432,단란주점영업,서울특별시 동작구 사당동 145-11번지 ,서울특별시 동작구 동작대로27가길 36 (사당동),SBS노래주점,단란주점,37.48601715,126.9809821
433,단란주점영업,서울특별시 동작구 상도동 188-4번지 ,서울특별시 동작구 상도로 152 (상도동),파티파티,단란주점,37.50293565,126.9362789
434,단란주점영업,서울특별시 동작구 흑석동 52-26번지 ,서울특별시 동작구 서달로14길 8 (흑석동),파티파티 노래주점,단란주점,37.50786291,126.9635143
435,단란주점영업,서울특별시 동작구 본동 165-5번지 ,"서울특별시 동작구 노량진로 234, 지하1층 (본동)",희와준단란주점,단란주점,37.51247722,126.9519307
436,단란주점영업,서울특별시 동작구 대방동 405-11번지 204호,서울특별시 동작구 보라매로 113 (대방동),노리터 노래타운,단란주점,37.49946602,126.9279008
437,단란주점영업,서울특별시 동작구 사당동 147-69번지 ,서울특별시 동작구 동작대로27가길 39 (사당동),킹카,단란주점,37.48586257,126.9811659
438,단란주점영업,서울특별시 동작구 흑석동 101-4번지 ,서울특별시 동작구 서달로15길 17 (흑석동),엠(M),단란주점,37.50847687,126.962159
439,단란주점영업,서울특별시 동작구 사당동 321-8번지 ,서울특별시 동작구 사당로 256 (사당동),필단란주점,단란주점,37.48320945,126.9761679
440,단란주점영업,서울특별시 동작구 사당동 1031-24번지 ,서울특별시 동작구 동작대로3길 10 (사당동),해성,단란주점,37.47846153,126.9808171
441,단란주점영업,서울특별시 동작구 신대방동 375-15번지 동일빌딩 ,"서울특별시 동작구 여의대방로22길 4, 동일빌딩 지하1층 (신대방동)",오빠,단란주점,37.49754878,126.9200894
442,단란주점영업,서울특별시 동작구 사당동 1044-1번지 지하 1층 ,"서울특별시 동작구 남부순환로269길 8 (사당동,지하 1층)",스타킹 라이브주점,단란주점,37.47713828,126.9785455
443,단란주점영업,서울특별시 동작구 상도동 492-14번지 ,서울특별시 동작구 상도로62길 35 (상도동),퐁퐁,단란주점,37.49579641,126.9533851
444,단란주점영업,서울특별시 동작구 상도1동 755-0번지 ,서울특별시 동작구 상도로 275 (상도1동),울리불리 7080,단란주점,37.50295564,126.9482441
445,단란주점영업,서울특별시 동작구 상도동 324-2번지 ,서울특별시 동작구 상도로 88 (상도동),야간열차,단란주점,37.49957339,126.9305657
446,단란주점영업,서울특별시 동작구 신대방동 395-67번지 관악타워 지1층136호 ,"서울특별시 동작구 보라매로5길 51 (신대방동,관악타워 지1층136호)",Live 캐슬,단란주점,37.49078223,126.9232199
447,단란주점영업,서울특별시 동작구 노량진동 261-2번지 ,서울특별시 동작구 노량진로8길 26 (노량진동),가원,단란주점,37.51257105,126.9367208
448,단란주점영업,서울특별시 동작구 상도동 467번지 ,서울특별시 동작구 상도로 331 (상도동),금강산,단란주점,37.49882514,126.9518015
449,단란주점영업,서울특별시 동작구 대방동 400-3번지 ,서울특별시 동작구 여의대방로 140 (대방동),별밤노래바,단란주점,37.49947768,126.9206551
450,유흥주점영업,서울특별시 동작구 사당동 148-10번지 ,서울특별시 동작구 사당로 287 (사당동),비전힐,룸살롱,37.48475486,126.9795104
451,유흥주점영업,서울특별시 동작구 사당동 1030-18번지 ,서울특별시 동작구 동작대로7길 4 (사당동),땡벌,룸살롱,37.48012509,126.9815066
452,유흥주점영업,서울특별시 동작구 사당동 1031-25번지 ,서울특별시 동작구 동작대로3길 8 (사당동),기쁨조,룸살롱,37.47845462,126.9809474
453,유흥주점영업,서울특별시 동작구 노량진동 39-26번지 ,서울특별시 동작구 노량진로8길 49 (노량진동),궁전,룸살롱,37.51247433,126.9380065
454,유흥주점영업,서울특별시 동작구 사당동 147-102번지 ,서울특별시 동작구 사당로 307 (사당동),준코뮤직타운이수역점,룸살롱,37.48555314,126.981619
455,유흥주점영업,서울특별시 동작구 노량진동 31-13번지 ,서울특별시 동작구 노량진로8길 27 (노량진동),디제이노래주점,룸살롱,37.5127192,126.9369234
456,유흥주점영업,서울특별시 동작구 상도동 329-4번지 ,서울특별시 동작구 상도로 99 (상도동),보물섬노래빠,룸살롱,37.50039684,126.9313712
457,유흥주점영업,서울특별시 동작구 사당동 148-12번지 ,서울특별시 동작구 사당로 293 (사당동),아우디,룸살롱,37.48493047,126.9800426
458,유흥주점영업,"서울특별시 동작구 상도동 369-6번지 ,13호 ","서울특별시 동작구 장승배기로10길 9 (상도동,,13호)",팡팡,룸살롱,37.50458659,126.939768
459,유흥주점영업,서울특별시 동작구 사당동 133-4번지 ,서울특별시 동작구 동작대로27길 6 (사당동),코비노래타운주점,룸살롱,37.48786541,126.9817181
460,유흥주점영업,서울특별시 동작구 노량진동 231-115번지 ,서울특별시 동작구 장승배기로 135 (노량진동),테마노래주점,룸살롱,37.50965611,126.9399695
461,유흥주점영업,서울특별시 동작구 사당동 1031-37번지 ,서울특별시 동작구 동작대로7길 5 (사당동),초원노래팡팡,룸살롱,37.47991296,126.9813191
462,유흥주점영업,서울특별시 동작구 흑석동 107번지 ,"서울특별시 동작구 흑석로 124-1, 지하1층 (흑석동)",돈꽃,룸살롱,37.50905173,126.9622183
463,유흥주점영업,서울특별시 동작구 상도동 328-13번지 ,서울특별시 동작구 상도로 95-1 (상도동),이큐(EQ),룸살롱,37.50027764,126.9310769
464,유흥주점영업,서울특별시 동작구 신대방동 607-28번지 ,"서울특별시 동작구 시흥대로 646, 지하1층 (신대방동)",수,스텐드바,37.48948701,126.9074726
465,유흥주점영업,서울특별시 동작구 사당동 321-114번지 ,서울특별시 동작구 사당로 252 (사당동),힐링,룸살롱,37.48312433,126.975808
466,유흥주점영업,서울특별시 동작구 노량진동 27-11번지 ,서울특별시 동작구 노량진로 92 (노량진동),벌떼(BUL DDE),룸살롱,37.51303008,126.9359926
467,유흥주점영업,서울특별시 동작구 상도동 365-1번지 ,서울특별시 동작구 상도로 179 (상도동),별밤,스텐드바,37.50473488,126.9383364
468,유흥주점영업,서울특별시 동작구 사당동 1019-42번지 ,서울특별시 동작구 동작대로 53 (사당동),로마,룸살롱,37.48126018,126.9815023
469,유흥주점영업,서울특별시 동작구 사당동 147-75번지 ,서울특별시 동작구 동작대로27가길 45 (사당동),주주,룸살롱,37.48552099,126.9811515
470,유흥주점영업,서울특별시 동작구 사당동 147-76번지 ,서울특별시 동작구 사당로 303 (사당동),세븐,룸살롱,37.48541638,126.9811145
471,유흥주점영업,서울특별시 동작구 노량진동 28-7번지 ,서울특별시 동작구 노량진로 90 (노량진동),던힐,룸살롱,37.51305839,126.9356846
472,유흥주점영업,서울특별시 동작구 사당동 144-7번지 ,서울특별시 동작구 동작대로25길 37 (사당동),볼보(VOLVO),룸살롱,37.48545348,126.980462
473,유흥주점영업,서울특별시 동작구 노량진동 60-29번지 리바트가구 ,"서울특별시 동작구 노량진로 125, 2층,3층 (노량진동)",고래,기타,37.51373961,126.9400969
474,유흥주점영업,서울특별시 동작구 상도동 365-1번지 지하1층 ,"서울특별시 동작구 상도로 179 (상도동, 지하1층)",파파코(PAPACO),룸살롱,37.50473488,126.9383364
475,유흥주점영업,서울특별시 동작구 사당동 147-48번지 ,"서울특별시 동작구 사당로 308, 지하1층 (사당동)",놀이터,노래클럽,37.48494287,126.9815326
476,유흥주점영업,서울특별시 동작구 노량진동 72-3번지 외5필지 A호 ,"서울특별시 동작구 노량진로 148-3 (노량진동,외5필지 A호)",쿨노래주점,룸살롱,37.51341135,126.9423894
477,유흥주점영업,서울특별시 동작구 사당동 147-77번지 ,서울특별시 동작구 동작대로27가길 46-3 (사당동),워커힐,룸살롱,37.48544048,126.9808232
478,유흥주점영업,서울특별시 동작구 노량진동 35-1번지 ,서울특별시 동작구 노량진로8길 33 (노량진동),시바스,룸살롱,37.51264772,126.9372185
479,유흥주점영업,서울특별시 동작구 사당동 1019-38번지 ,서울특별시 동작구 동작대로 55 (사당동),관광열차,스텐드바,37.48138091,126.9815101
480,유흥주점영업,서울특별시 동작구 사당동 145-28번지 ,서울특별시 동작구 동작대로27가길 31 (사당동),벤츠,룸살롱,37.48615666,126.9811927
481,유흥주점영업,서울특별시 동작구 사당동 147-101번지 ,서울특별시 동작구 동작대로 101 (사당동),바이칼,룸살롱,37.48566704,126.9816673
482,유흥주점영업,서울특별시 동작구 노량진동 29-6번지 ,"서울특별시 동작구 노량진로 86-1, 지하층 (노량진동)",세시봉7080,룸살롱,37.51299972,126.9354919
483,유흥주점영업,서울특별시 동작구 노량진동 40-33번지 ,서울특별시 동작구 노량진로 106-3 (노량진동),리얼 술마시는 노래방송국,룸살롱,37.51305157,126.9377687
484,유흥주점영업,서울특별시 동작구 노량진동 72-3번지 ,서울특별시 동작구 노량진로 148-3 (노량진동),유토피아,룸살롱,37.51341135,126.9423894
485,유흥주점영업,서울특별시 동작구 대방동 407-25번지 ,서울특별시 동작구 여의대방로24길 121 (대방동),초콜릿,룸살롱,37.4993704,126.9268416
486,유흥주점영업,서울특별시 동작구 사당동 1031-30번지 ,서울특별시 동작구 동작대로 29 (사당동),비타민,룸살롱,37.47913025,126.9813106
487,유흥주점영업,서울특별시 동작구 사당동 144-3번지 ,"서울특별시 동작구 동작대로27가길 46-5, 지하1층 (사당동)",놀자,기타,37.48546208,126.9806818
488,유흥주점영업,서울특별시 동작구 사당동 147-100번지 ,서울특별시 동작구 동작대로 103 (사당동),2040,룸살롱,37.48579661,126.9817172
489,유흥주점영업,서울특별시 동작구 신대방동 349-3번지 ,서울특별시 동작구 여의대방로22길 136 (신대방동),쇼킹단란한주점,스텐드바,37.4980238,126.9253046
490,유흥주점영업,서울특별시 동작구 사당동 147-99번지 ,서울특별시 동작구 동작대로 105 (사당동),내스타일,스텐드바,37.48593267,126.9817483
